Abs	1	2	3	4	5	6	7	8	9	10	11	12
A	0.0677	0.0680	0.0685	0.0688	0.0692	0.0689	0.0683	0.0696	0.0703	0.0692	0.0684	0.0687
B	0.0738	0.1456	0.1202	0.1106	0.1051	0.1690	0.1596	0.1349	0.1222	0.1172	0.1890	0.0709
C	0.0679	0.1460	0.1201	0.1086	0.1048	0.1713	0.1624	0.1355	0.1230	0.1256	0.1983	0.0678
D	0.0706	0.1464	0.1206	0.1109	0.1085	0.1674	0.1635	0.1430	0.1232	0.1188	0.1637	0.0681
E	0.0708	0.1461	0.1254	0.1093	0.1056	0.1645	0.1592	0.1328	0.1238	0.1225	0.1661	0.0697
F	0.0838	0.1407	0.1212	0.1142	0.1076	0.1765	0.1589	0.1382	0.1225	0.1238	0.1871	0.0710
G	0.0715	0.1253	0.1211	0.1177	0.1097	0.1771	0.1608	0.1393	0.1242	0.1186	0.1860	0.0705
H	0.0719	0.0702	0.0988	0.0696	0.0747	0.0706	0.0711	0.0691	0.0690	0.0694	0.0692	0.0718

