Abs	1	2	3	4	5	6	7	8	9	10	11	12
A	0.1539	0.3050	0.3265	0.2986	0.2919	0.2835	0.2801	0.2817	0.2738	0.2962	0.2635	0.2537
B	0.3061	0.4026	0.3486	0.3720	0.3689	0.4426	0.3941	0.4689	0.6857	0.7933	1.1623	0.2596
C	0.3293	0.4000	0.3707	0.3548	0.3836	0.4319	0.3974	0.4569	0.7104	0.7461	1.1917	0.2840
D	0.3269	0.4125	0.3807	0.3242	0.3793	0.4381	0.4011	0.4813	0.7043	0.7352	0.4210	0.2747
E	0.3100	0.3893	0.3827	0.3692	0.3579	0.4384	0.3930	0.5020	0.7527	0.7661	0.4188	0.2900
F	0.3328	0.3815	0.3733	0.3671	0.3586	0.4208	0.4183	0.4792	0.7387	0.7583	1.1667	0.2720
G	0.3132	0.3778	0.3752	0.3737	0.3195	0.4260	0.4067	0.4457	0.7220	0.7615	1.1152	0.2646
H	0.2973	0.2965	0.3219	0.2760	0.2895	0.2806	0.2896	0.2629	0.2647	0.2829	0.2734	0.2624

