	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	2.493	0.084	0.086	0.086	0.086	0.091	0.087	0.085	0.087	0.086	0.088	0.085	1
B	0.231	0.565	0.585	0.582	0.581	0.157	0.155	0.57	0.566	0.564	0.568	0.088	2
C	1.019	0.543	0.543	0.545	0.54	0.156	0.156	0.616	0.609	0.59	0.6	0.089	3
D	0.767	0.545	0.561	0.558	0.555	0.154	0.156	0.582	0.598	0.604	0.61	0.088	4
E	1.43	0.525	0.532	0.528	0.516	0.155	0.154	0.5	0.511	0.508	0.501	0.085	5
F	0.095	0.578	0.564	0.538	0.518	0.156	0.157	0.669	0.66	0.66	0.632	0.086	6
G	2.216	0.496	0.497	0.495	0.481	0.157	0.157	0.512	0.519	0.522	0.523	0.085	7
H	0.504	0.086	0.089	0.087	0.086	0.087	0.088	0.089	0.09	0.089	0.089	0.085	8
