	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.301	0.218	0.286	0.101	0.098	0.108	0.219	0.11	0.099	0.113	0.111	0.155	33
B	1.343	1.362	1.275	1.485	1.196	0.229	0.215	0.57	0.636	0.725	0.584	0.124	34
C	1.75	0.924	0.531	0.576	0.568	0.173	0.385	0.96	0.897	0.819	0.815	0.329	35
D	0.261	1.355	1.477	1.504	1.533	0.375	0.386	1.492	1.51	1.486	1.492	0.233	36
E	0.398	0.588	0.508	0.601	0.339	0.403	0.524	1.241	1.312	1.45	1.245	0.426	37
F	0.102	1.635	1.6	1.647	1.542	0.183	0.363	1.478	1.479	1.569	1.559	0.333	38
G	1.367	1.48	1.516	1.445	0.827	0.238	0.313	0.685	0.733	0.678	0.813	0.098	39
H	0.904	0.123	0.101	0.412	0.103	0.134	0.37	0.3	0.117	0.104	0.521	0.093	40
