	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	1.169	0.083	0.085	0.085	0.086	0.086	0.086	0.085	0.092	0.093	0.093	0.085	25
B	0.716	0.333	0.331	0.327	0.331	0.161	0.156	0.321	0.318	0.316	0.32	0.086	26
C	0.288	0.543	0.516	0.49	0.486	0.155	0.153	0.52	0.535	0.536	0.537	0.086	27
D	0.367	0.49	0.505	0.507	0.507	0.091	0.092	0.539	0.527	0.517	0.514	0.086	28
E	0.206	0.094	0.095	0.095	0.095	0.093	0.091	0.091	0.092	0.093	0.092	0.084	29
F	1.352	0.094	0.094	0.093	0.093	0.154	0.154	0.092	0.093	0.092	0.092	0.084	30
G	2.245	0.093	0.094	0.093	0.094	0.156	0.156	0.094	0.094	0.093	0.093	0.084	31
H	0.61	0.086	0.086	0.086	0.085	0.085	0.086	0.085	0.094	0.093	0.086	0.083	32
