	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	1.175	0.084	0.089	0.085	0.086	0.088	0.087	0.084	0.084	0.084	0.086	0.086	33
B	0.568	0.517	0.533	0.529	0.526	0.159	0.161	0.556	0.564	0.557	0.567	0.085	34
C	1.956	0.251	0.257	0.257	0.26	0.158	0.158	0.297	0.305	0.303	0.304	0.086	35
D	0.106	0.527	0.541	0.537	0.541	0.091	0.092	0.578	0.594	0.597	0.597	0.086	36
E	0.772	0.189	0.195	0.197	0.201	0.092	0.091	0.207	0.212	0.214	0.213	0.085	37
F	0.089	0.3	0.315	0.313	0.314	0.158	0.161	0.311	0.326	0.326	0.325	0.085	38
G	1.24	0.471	0.474	0.488	0.473	0.161	0.162	0.527	0.538	0.541	0.533	0.084	39
H	0.7	0.086	0.086	0.087	0.087	0.086	0.088	0.088	0.089	0.085	0.086	0.083	40
