	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	2.63	0.324	0.306	0.33	0.261	0.282	0.292	0.287	0.299	0.258	0.291	0.302	1
B	0.505	1.751	1.752	1.69	1.747	0.383	0.343	1.679	1.656	1.761	1.656	0.285	2
C	1.211	1.737	1.741	1.815	1.693	0.392	0.399	1.739	1.793	1.73	1.718	0.293	3
D	0.993	1.737	1.781	1.714	1.718	0.385	0.354	1.763	1.75	1.824	1.763	0.316	4
E	1.629	1.722	1.799	1.758	1.721	0.372	0.364	1.744	1.77	1.811	1.701	0.311	5
F	0.261	1.731	1.698	1.814	1.752	0.356	0.378	1.775	1.831	1.819	1.751	0.346	6
G	2.537	1.688	1.773	1.737	1.723	0.401	0.398	1.753	1.721	1.75	1.718	0.223	7
H	0.772	0.207	0.306	0.284	0.299	0.266	0.29	0.342	0.271	0.305	0.263	0.261	8
