	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.451	0.114	0.116	0.114	0.113	0.117	0.117	0.119	0.113	0.116	0.112	0.114	17
B	1.538	0.971	0.977	0.953	0.961	0.245	0.235	0.86	0.907	0.907	0.869	0.122	18
C	0.688	1.343	1.203	1.298	1.258	0.148	0.15	1.365	1.363	1.327	1.288	0.135	19
D	1.576	1.315	1.317	1.279	1.293	0.143	0.151	1.298	1.302	1.315	1.261	0.121	20
E	1.409	0.792	0.832	0.848	0.806	0.138	0.141	0.779	0.821	0.805	0.776	0.115	21
F	1.232	0.996	1	1.013	0.95	0.142	0.142	0.948	0.88	0.932	0.893	0.117	22
G	0.14	0.89	0.888	0.918	0.886	0.194	0.2	0.762	0.897	0.85	0.843	0.114	23
H	1.277	0.116	0.129	0.129	0.132	0.129	0.135	0.137	0.132	0.128	0.126	0.109	24
