	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	1.053	0.26	0.28	0.283	0.29	0.274	0.263	0.235	0.224	0.196	0.185	0.129	9
B	2.973	0.684	0.753	0.791	0.781	0.324	0.296	0.751	0.751	0.729	0.718	0.188	10
C	0.797	1.515	1.611	1.609	1.57	0.347	0.343	1.458	1.493	1.475	1.423	0.247	11
D	0.382	1.675	1.765	1.704	1.669	0.131	0.139	1.704	1.677	1.651	1.545	0.255	12
E	0.335	1.914	1.904	1.836	1.872	0.137	0.138	1.82	1.861	1.843	1.824	0.249	13
F	0.665	1.671	1.658	1.662	1.694	0.368	0.401	1.593	1.579	1.579	1.608	0.285	14
G	0.362	1.527	1.593	1.629	1.524	0.387	0.354	1.423	1.515	1.518	1.617	0.266	15
H	2.826	0.346	0.323	0.288	0.332	0.3	0.341	0.28	0.281	0.288	0.298	0.214	16
