	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.479	0.244	0.272	0.327	0.341	0.306	0.258	0.213	0.295	0.335	0.307	0.284	17
B	2.117	0.802	0.732	0.72	0.77	0.411	0.374	0.726	0.756	0.759	0.703	0.243	18
C	1.079	1.802	1.85	1.9	1.838	0.323	0.329	1.778	1.807	1.842	1.816	0.33	19
D	1.715	1.82	1.877	1.851	1.86	0.167	0.166	1.772	1.807	1.871	1.809	0.29	20
E	1.561	1.248	1.285	1.27	1.219	0.177	0.154	1.125	1.201	1.184	1.158	0.261	21
F	1.374	0.708	0.759	0.759	0.744	0.328	0.317	0.787	0.714	0.725	0.711	0.279	22
G	0.303	1.032	1.235	1.474	1.436	0.349	0.331	1.213	1.412	1.408	1.391	0.308	23
H	1.266	0.268	0.246	0.167	0.141	0.14	0.302	0.323	0.202	0.121	0.124	0.328	24
