	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.83	0.128	0.125	0.141	0.136	0.136	0.139	0.153	0.141	0.148	0.145	0.132	9
B	2.75	0.925	0.98	0.952	0.995	0.203	0.203	0.841	0.866	0.848	0.902	0.146	10
C	0.555	1.031	1.125	1.068	1.108	0.204	0.206	1.113	1.095	1.066	1.113	0.142	11
D	0.189	1.26	1.256	1.223	1.12	0.117	0.113	1.157	1.169	1.118	1.014	0.14	12
E	0.191	1.059	1.001	1.017	1.068	0.11	0.11	1.143	1.187	1.148	1.192	0.125	13
F	0.583	1.192	1.204	1.188	1.133	0.202	0.205	1.165	1.113	1.142	1.173	0.125	14
G	0.155	0.52	0.539	0.562	0.503	0.202	0.198	0.697	0.733	0.715	0.811	0.124	15
H	2.661	0.117	0.115	0.121	0.133	0.133	0.125	0.124	0.12	0.121	0.127	0.129	16
