	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	1.494	0.178	0.171	0.181	0.18	0.188	0.186	0.179	0.107	0.107	0.113	0.173	25
B	0.993	0.93	0.955	1.008	0.945	0.248	0.258	0.948	0.891	0.875	0.889	0.184	26
C	0.461	1.357	1.308	1.25	1.155	0.248	0.24	1.315	1.358	1.345	1.303	0.187	27
D	0.507	1.075	0.961	0.964	1.262	0.129	0.122	1.172	1.292	1.302	1.322	0.197	28
E	0.389	0.115	0.111	0.116	0.117	0.122	0.124	0.12	0.118	0.123	0.121	0.196	29
F	1.401	0.109	0.11	0.118	0.116	0.246	0.239	0.117	0.114	0.114	0.123	0.196	30
G	2.137	0.108	0.108	0.113	0.119	0.235	0.239	0.12	0.114	0.111	0.114	0.186	31
H	0.568	0.155	0.169	0.185	0.186	0.183	0.188	0.186	0.102	0.102	0.194	0.168	32
