	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.758	0.207	0.211	0.256	0.253	0.282	0.29	0.289	0.299	0.288	0.265	0.29	41
B	0.643	1.149	1.222	1.241	1.256	0.338	0.345	1.257	1.326	1.249	1.409	0.242	42
C	2.448	1.1	1.245	1.28	1.226	0.346	0.36	1.216	1.381	1.348	1.409	0.267	43
D	0.227	0.551	0.617	0.616	0.701	0.153	0.167	0.767	0.807	0.839	0.882	0.245	44
E	0.323	0.359	0.406	0.408	0.424	0.366	0.38	0.78	0.709	0.706	0.722	0.335	45
F	0.341	0.314	0.351	0.38	0.391	0.344	0.38	0.592	0.589	0.571	0.564	0.27	46
G	1.13	0.107	0.111	0.124	0.134	0.14	0.144	0.16	0.172	0.168	0.17	0.322	47
H	0.442	0.203	0.223	0.243	0.27	0.305	0.315	0.288	0.279	0.321	0.313	0.255	48
