	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	2.11	0.412	0.739	0.141	0.134	0.793	0.146	0.768	0.157	0.151	0.227	0.25	41
B	1.759	1.29	1.09	0.697	1.194	0.219	0.356	0.914	0.872	0.872	0.838	0.19	42
C	2.512	0.801	0.987	0.74	1.071	0.222	0.32	0.791	0.909	0.809	0.841	0.208	43
D	0.552	0.929	1.02	0.981	1.283	0.381	0.325	0.932	1.145	1.024	1.03	0.21	44
E	0.712	0.64	0.402	0.474	0.478	0.228	0.389	0.714	0.586	0.643	0.559	0.129	45
F	0.509	0.385	0.757	0.28	0.276	0.236	0.233	0.472	0.526	0.497	0.498	0.201	46
G	1.062	0.331	0.315	0.253	0.308	0.223	0.276	0.287	0.284	0.246	0.329	0.161	47
H	0.345	0.152	0.944	0.112	0.113	0.14	0.542	0.12	0.147	0.121	0.219	0.118	48
