	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.887	0.084	0.085	0.086	0.086	0.088	0.087	0.087	0.086	0.087	0.087	0.086	9
B	2.804	0.29	0.297	0.296	0.3	0.161	0.16	0.271	0.271	0.269	0.271	0.086	10
C	0.553	0.323	0.346	0.343	0.345	0.157	0.156	0.375	0.377	0.378	0.379	0.086	11
D	0.17	0.486	0.501	0.493	0.483	0.091	0.092	0.486	0.491	0.477	0.469	0.086	12
E	0.128	0.441	0.434	0.435	0.432	0.093	0.091	0.5	0.512	0.517	0.514	0.084	13
F	0.429	0.51	0.51	0.503	0.501	0.157	0.159	0.487	0.491	0.489	0.5	0.084	14
G	0.097	0.216	0.225	0.222	0.217	0.16	0.16	0.27	0.275	0.264	0.281	0.084	15
H	2.699	0.086	0.086	0.087	0.087	0.09	0.094	0.09	0.089	0.085	0.086	0.084	16
