	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	2.432	0.201	0.189	0.22	0.209	0.194	0.212	0.217	0.201	0.17	0.153	0.12	1
B	0.347	1.28	1.265	1.316	1.333	0.292	0.297	1.361	1.358	1.347	1.328	0.173	2
C	1.212	0.98	1.082	1.104	1.103	0.289	0.287	1.352	1.405	1.323	1.338	0.201	3
D	0.703	1.379	1.426	1.426	1.351	0.275	0.199	1.425	1.426	1.452	1.433	0.161	4
E	1.447	1.35	1.364	1.333	1.272	0.212	0.213	1.235	1.327	1.341	1.316	0.174	5
F	0.192	1.359	1.304	1.122	1.1	0.207	0.238	1.459	1.424	1.454	1.37	0.17	6
G	2.691	1.273	1.266	1.223	1.239	0.244	0.291	1.402	1.406	1.365	1.288	0.162	7
H	0.708	0.204	0.233	0.219	0.231	0.232	0.243	0.225	0.228	0.199	0.14	0.117	8
