	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.292	0.084	0.085	0.085	0.086	0.087	0.087	0.085	0.086	0.085	2.991	0.086	17
B	1.428	0.324	0.331	0.326	0.322	0.16	0.155	0.295	0.305	0.292	0.302	0.086	18
C	0.655	0.534	0.527	0.537	0.511	0.094	0.093	0.586	0.575	0.569	0.531	0.086	19
D	1.303	0.524	0.528	0.522	0.526	0.095	0.092	0.533	0.522	0.515	0.512	0.087	20
E	1.679	0.294	0.295	0.295	0.29	0.092	0.091	0.318	0.318	0.314	0.299	0.085	21
F	1.553	0.402	0.407	0.41	0.403	0.092	0.093	0.337	0.335	0.342	0.328	0.084	22
G	0.151	0.289	0.286	0.286	0.284	0.155	0.158	0.305	0.306	0.306	0.287	0.084	23
H	1.297	0.085	0.087	0.085	0.085	0.086	0.089	0.086	0.088	0.094	0.093	0.084	24
