	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	0.795	0.143	0.28	0.293	0.264	0.338	0.272	0.295	0.264	0.257	0.211	0.151	33
B	0.884	1.52	1.485	1.496	1.516	0.366	0.414	1.442	1.506	1.435	1.389	0.198	34
C	2.082	0.699	0.784	0.818	0.853	0.346	0.39	1.115	1.075	1.018	0.977	0.228	35
D	0.288	1.539	1.509	1.413	1.476	0.147	0.132	1.484	1.463	1.54	1.456	0.227	36
E	0.646	0.487	0.526	0.454	0.485	0.111	0.108	0.819	0.801	0.74	0.694	0.228	37
F	0.207	0.791	0.777	0.74	0.694	0.425	0.389	0.549	0.526	0.495	0.506	0.224	38
G	1.822	1.308	1.367	1.34	1.344	0.377	0.37	1.357	1.393	1.384	1.3	0.236	39
H	0.908	0.271	0.33	0.317	0.328	0.325	0.32	0.3	0.281	0.273	0.281	0.206	40
