	1	2	3	4	5	6	7	8	9	10	11	12	ID
A	1.133	0.298	0.341	0.303	0.341	0.316	0.314	0.309	0.114	0.113	0.117	0.285	25
B	1.087	0.732	0.717	0.744	0.768	0.412	0.375	0.75	0.779	0.762	0.792	0.297	26
C	0.733	1.869	1.834	1.844	1.845	0.366	0.406	1.826	1.881	1.886	1.85	0.331	27
D	0.819	1.789	1.891	1.877	1.864	0.221	0.203	1.831	1.829	1.795	1.724	0.257	28
E	0.662	0.209	0.179	0.203	0.197	0.196	0.21	0.196	0.194	0.185	0.198	0.298	29
F	1.613	0.186	0.166	0.162	0.172	0.184	0.164	0.193	0.155	0.146	0.204	0.27	30
G	2.497	0.203	0.21	0.212	0.22	0.157	0.146	0.209	0.129	0.124	0.203	0.378	31
H	0.849	0.314	0.32	0.196	0.132	0.316	0.279	0.335	0.111	0.107	0.296	0.267	32
